Influent NH4+-N,Influent TN,Influent Flowrate,DO of Zone 5,TN of Zone 5,COD of Zone 6,TN of Zone 6,DO of Zone 7,COD of Zone 7,TN of Zone 7,Effluent TN,Energy Consumption,External Carbon Source
34.92,40.19,42458.22,7.8,28.57,49.65,9.62,0.07,41.52,8.15,4.74,18962.84,3.99
34.29,39.7,40088.18,6.66,30.56,64.56,12.1,0.07,45.11,10.14,5.76,18857.9,3.19
34.77,40.18,42558.67,7.69,28.8,51.55,9.92,0.07,42.13,8.39,4.86,18973.74,3.89
17.96,20.36,65748.32,10.34,11.42,29.61,7.77,0.13,22.2,5.21,5.42,20600,2.2
20.37,22.06,65848.74,9.09,12.84,26.16,8.57,0.13,23.58,7.04,5.72,20647.14,1.68
16,19.71,67483.84,9.06,12.78,21.95,9.18,0.14,19.85,6.02,5.59,20562.8,1.49
22.24,23.84,65697.1,9.29,12.93,28.49,9.59,0.11,23.32,7.46,5.55,20575.08,1.88
29.5,30.64,66025.22,8.68,17.28,22.95,12.09,0.14,27.99,10.09,5.7,20111.7,2.29
28.29,29.66,66116.2,8.97,16.54,26.81,11.41,0.14,27.94,9.43,5.68,20181.69,2.37
25.84,27.67,66301.01,9.56,15.05,34.67,10.03,0.13,27.83,8.1,5.64,20323.85,2.54
27.51,29.41,66827.99,8.53,18.57,31.79,9.07,0.13,31.8,8.83,5.13,21378.11,1.94
22.66,24.12,44041.28,7.01,34.47,50.61,8.44,6.88,24.61,6.05,5.88,16361.17,3.54
23.14,23.98,43918.81,6.73,35.11,49.72,7.96,6.89,25.31,5.54,5.74,16241.46,3.65
25.28,27.08,44617.91,7.4,33.1,47.97,7.18,6.87,26.53,5.92,4.68,16240,3.65
23.23,25.09,44537.69,7.13,35.01,49.63,8.37,6.89,24.49,6.05,5.91,16374.44,3.36
14.91,16.8,65572.45,8.98,12.47,24.53,6.68,0.14,24.07,5.61,5.6,20750,1.64
14.85,16.82,66051,8.9,12.31,23.77,5.89,0.13,24.66,5.6,5.04,20588.39,1.37
13.93,18.11,67725.36,9.02,12.67,20.08,8.58,0.14,19.55,5.46,5.58,20579.78,1.37
15.61,17.97,65844.4,9.26,12.24,23.2,6.35,0.13,23.96,5.44,5.64,20722.57,1.54
40.84,46.21,31718.69,7.75,18.9,72.95,10.42,0.08,40.51,6.74,5.69,18311.98,2.86
32.03,36.23,32581.19,9.12,14.79,59.69,7.79,0.08,41.39,5.29,5.68,18050,3.61
36.67,40.81,31310.38,7.99,19.41,71.86,8.95,0.08,42.9,6.3,5.71,18039.31,3.2
38.14,41.94,31242.85,8.08,19.33,73.71,9.18,0.08,42.45,6.49,5.78,18122.72,3.1
27.14,33.29,41245.28,6.44,17.61,57.74,11.38,0.13,38.55,10.66,5.81,17736.38,3.22
28.42,33.69,44037.51,7.11,17.28,56.48,10.19,0.07,41.75,9.86,5.88,17996.46,2.74
29.77,34.48,47702.5,8.01,16.58,55.52,8.44,0.08,45.81,8.87,5.97,18258.53,2.14
27.2,33.21,41105.06,6.43,17.95,57.32,11.36,0.03,38.52,10.59,5.8,17875.09,3.17
17.32,21.75,47865.97,3.52,18.05,41.49,10.39,4.14,27.13,14.78,5.84,14842.59,2.55
17.5,21.31,47983.18,3.48,18.09,41.94,10.6,4.19,27.21,14.97,5.82,14848.5,2.56
17.77,21.4,47270.8,3.61,18.22,42.04,10.23,4.19,27.14,14.79,5.83,14816.16,2.64
17.85,21.45,47336.99,3.52,18,41.81,10.23,4.29,27.07,15.08,5.82,14928.72,2.65
26.28,27.08,36534.89,7.82,21.52,47.05,12.36,0.83,35.56,4.78,5.11,11989.64,2.51
28.76,29.7,37562.41,5.98,22.89,56.28,15.16,1.18,38.32,9.8,5.87,11451.39,2.53
28.44,29.24,37113.71,6.2,22.79,54.81,14.71,1.02,38.17,9.03,5.74,11569.83,2.54
36.29,37.01,39183.89,5.71,24.64,55.55,17.67,0.92,39.07,10.88,6.01,12483.04,2.28
29,31.58,45519.26,3.77,13.16,20.87,16.45,1.56,22.44,11.82,5.89,16525.5,2.05
29.14,31.62,46147.65,3.68,13.12,21.54,16.56,1.55,22.72,11.76,5.87,16397.63,2.06
29.31,31.56,44710.32,3.62,13.11,21.37,16.55,1.53,22.62,11.66,5.88,16350.94,2.04
